species,Z,A,Sun
Fe I,26,7.393084215752322,7.46
Ni I,28,6.14226423101078,6.2
Fe I,26,7.3843958509753005,7.46
Fe I,26,7.381402277974243,7.46
Ni I,28,6.157998450158198,6.2
Fe I,26,7.357897653560908,7.46
Fe I,26,7.3477627210479755,7.46
Si I,14,7.490534196496248,7.51
Si I,14,7.469905929408995,7.51
Sc II,21,3.0783218553620895,3.14
Fe II,26,7.507297458653102,7.46
V I,23,3.617756015416197,3.9
Fe I,26,7.372857638598645,7.46
Ti I,22,4.834971075938419,4.97
Ti I,22,4.854974142556491,4.97
Fe I,26,7.398734573333936,7.46
Fe I,26,7.368053825280398,7.46
Fe I,26,7.228696120078675,7.46
Sc II,21,3.105515443531444,3.14
Mg I,12,7.405048332104194,7.55
Mg I,12,7.422831629531088,7.55
Sc II,21,3.0640875131596443,3.14
Zn I,30,4.531762184015714,4.56
Fe II,26,7.4378460718565895,7.46
Ni I,28,6.203988838896067,6.2
Fe I,26,7.396736521536822,7.46
Fe I,26,7.304221695057784,7.46
Fe II,26,7.552914980270171,7.46
Fe I,26,7.356350791944041,7.46
Fe II,26,7.489370628422125,7.46
Co I,27,4.7615664844017385,4.94
Ca I,20,6.198811588625064,6.3
Fe II,26,7.46780176490942,7.46
Ca I,20,6.221876559861897,6.3
Fe I,26,7.35963880536166,7.46
Ca I,20,6.222266366814341,6.3
C I,6,8.543500520349308,8.46
Fe I,26,7.399447815802131,7.46
Fe I,26,7.438968768466664,7.46
Sc II,21,3.0805824271786353,3.14
Fe I,26,7.242294764901982,7.46
Ni I,28,6.158660238800236,6.2
Cr I,24,5.51682497678141,5.62
Fe I,26,7.37570932768405,7.46
Al I,13,6.329112940738185,6.43
Al I,13,6.249446911605853,6.43
Fe I,26,7.340070458858937,7.46
Fe I,26,7.365637298924005,7.46
Fe I,26,7.301438131884586,7.46
Fe I,26,7.348384957114563,7.46
Si I,14,7.493148526276138,7.51
Fe I,26,7.326951174767845,7.46
Fe I,26,7.392393395761694,7.46
Fe I,26,7.392068674995672,7.46
Fe I,26,7.120455830099605,7.46
Si I,14,7.583314323534411,7.51
Fe I,26,7.396065799288478,7.46
Fe I,26,7.37206232502294,7.46
S I,16,7.21475534002079,7.12
Ni I,28,6.166418640551683,6.2
Ni I,28,6.165724496879625,6.2
Fe I,26,7.24861545146524,7.46
Fe I,26,7.314615889125158,7.46
Fe I,26,7.401659158502466,7.46
Fe I,26,7.304060708387467,7.46
Fe I,26,7.278943545634178,7.46
Fe I,26,7.397012362606741,7.46
Fe I,26,7.369897866886383,7.46
C I,6,8.492036617130097,8.46
C I,6,8.575721581823867,8.46
K I,19,5.085236587806578,5.07
Ni I,28,6.199177879140055,6.2
O I,8,8.849628069231466,8.69
O I,8,8.880667553049452,8.69
O I,8,8.882333368830768,8.69
Ni I,28,6.186915776602977,6.2
Al I,13,6.331111061482141,6.43
Al I,13,6.275104077159257,6.43
Cu I,29,4.20308195301718,4.18
S I,16,7.265500270431241,7.12
S I,16,7.2173402151314425,7.12
Al I,13,6.431258723206242,6.43
Al I,13,6.416659107541298,6.43
